filename,wall_thickness,color,infill_percent,platform_adhesion,support_type,obsolete
base.stl,,,,,,0
housing.stl,,,,,,0
housing_lid.stl,,,,,,0
lens_holder_bottom.stl,,,,,,0
lens_holder_bottom2.stl,,,,,,1
lens_holder_bottom3.stl,,,,,,1
lens_holder_top.stl,,,,,,0
lens_holder_top2.stl,,,,,,1
lens_holder_top3.stl,,,,,,1
lens_worm_gear.stl,,,,,,0
light_mask_test_20180911.stl,,,,,,1
light_mask_test_20180911b.stl,,,,,,1
rack.stl,,,,,,0
